insert1 pass
delete1 pass
integrity check passed
name,count,time,avg
insert.bpt_insert   ,1048576   ,15.262643 ,0.014556  
insert.simple_insertion,1050072   ,9.710612  ,0.009248  
insert.split_insertion,1496      ,0.038691  ,0.025863  
bpt_node_find_pos   ,6951377   ,92.116296 ,0.013252  
bpt_node_find_pos_cuda,6951377   ,85.193295 ,0.012256  
delete.bpt_delete   ,524288    ,27.043645 ,0.051582  
delete.delete_entry ,525017    ,3.266310  ,0.006221  
delete.merge_nodes  ,729       ,0.004491  ,0.006161  
delete.adjust_root  ,1         ,0.000001  ,0.000954  
