insert1 pass
delete1 pass
integrity check passed
name,count,time,avg
insert.bpt_insert   ,3670016   ,60.531325 ,0.016493  
insert.simple_insertion,3674600   ,34.639572 ,0.009427  
insert.split_insertion,4584      ,0.129434  ,0.028236  
bpt_node_find_pos   ,28608284  ,664.505305,0.023228  
bpt_node_find_pos_pth,28608284  ,626.238002,0.021890  
delete.bpt_delete   ,1835008   ,183.080000,0.099771  
delete.delete_entry ,1836902   ,14.050341 ,0.007649  
delete.merge_nodes  ,1894      ,0.015324  ,0.008091  
delete.adjust_root  ,4         ,0.000002  ,0.000536  
