insert1 pass
delete1 pass
integrity check passed
name,count,time,avg
insert.bpt_insert   ,2097152   ,33.156763 ,0.015810  
insert.simple_insertion,2100124   ,19.685777 ,0.009374  
insert.split_insertion,2972      ,0.081781  ,0.027517  
bpt_node_find_pos   ,16041562  ,188.170938,0.011730  
bpt_node_find_pos_cuda,16041562  ,172.303718,0.010741  
delete.bpt_delete   ,1048576   ,54.628760 ,0.052098  
delete.delete_entry ,1049989   ,6.536608  ,0.006225  
delete.merge_nodes  ,1413      ,0.009290  ,0.006574  
delete.adjust_root  ,2         ,0.000000  ,0.000000  
